_latitude,_longitude,country,prospect,sample_id_read,easting,northing,gps_altitude
-16.7997274,-70.3597387,Perú,Vizcachas,474059,355107,8142107,5092
-16.8090558,-70.3657365,Perú,Vizcachas,474060,,,
-16.7973264,-70.3519318,Perú,Vizcachas,474061,355933,8142378,4940
-16.7958314,-70.3594227,Perú,Vizcachas,474062,355133,8142534,5179
-16.7956193,-70.3594051,Perú,Vizcachas,474063,355131,8142556,5177
-16.79119981,-70.35768849,Perú,Vizcachas,474064,,,
-16.7911941,-70.3576648,Perú,Vizcachas,474065,355314,8143050,5222
-16.7906722,-70.3498127,Perú,Vizcachas,474066,356154,8143115,5130
-16.79063143,-70.3497673,Perú,Vizcachas,474067,,,
-16.7892008,-70.3514945,Perú,Vizcachas,474068,355971,8143271,5190
-16.7903511,-70.3308596,Perú,Vizcachas,474069,358181,8143162,5079
-16.7897813,-70.3314284,Perú,Vizcachas,474070,358077,8143218,5084
-16.7907517,-70.3304643,Perú,Vizcachas,474071,,,
-16.7909763,-70.3324015,Perú,Vizcachas,474072,358006,8143081,4982
-16.7912473,-70.3302281,Perú,Vizcachas,474073,358239,8143064,5070
-16.7930956,-70.3514954,Perú,Vizcachas,474074,355975,8142844,4983
-16.7987664,-70.3497306,Perú,Vizcachas,474075,356169,8142216,4891
-16.8021417,-70.3496676,Perú,Vizcachas,474076,356180,8141847,4871
-16.802149,-70.3496676,Perú,Vizcachas,474077,,,
-16.802809,-70.3508426,Perú,Vizcachas,474078,356052,8141766,4874
-16.8032956,-70.3510612,Perú,Vizcachas,474079,356029,8141712,4869
-16.7905838,-70.3529628,Perú,Vizcachas,474080,355805,8143128,5180
-16.791046,-70.3459546,Perú,Vizcachas,474081,356564,8143074,5109
-16.793042,-70.3475488,Perú,Vizcachas,474082,356396,8142850,5065
-16.7944129,-70.3316542,Perú,Vizcachas,474083,358071,8142715,5026
-16.8853015,-70.3740882,Perú,Vizcachas,474084,,,
-16.7991521,-70.3468438,Perú,Vizcachas,474085,356471,8142175,5057
-16.7975784,-70.3635666,Perú,Vizcachas,474086,354695,8142342,4918
-16.7981398,-70.36545,Perú,Baulani,474088,354492,8142274,5025
-16.7985951,-70.3675489,Perú,Vizcachas,474089,354267,8142224,5102
-16.7982405,-70.3656408,Perú,Vizcachas,474096,,,
-16.7982382,-70.3656533,Perú,Vizcachas,474097,,,
-16.7975824,-70.3635789,Perú,Vizcachas,474087,,,
